,Name,Calories,Type
620,Whey Protein All Natural Capuccino (NewNutrition),122,1 porção (30g)
621,Pea Protein (NewNutrition),127,1 1/2 medidor (30g)
622,Barra Proteica (NewNutrition),142,1 barra (30g)
623,Beef Protein (NewNutrition),104,1 1/2 medidor (30g)
624,Whey Protein Zero Lactose Chocolate (NewNutrition),115,1 porção (30g)
625,Pasta de Amendoim com Cacau e Açúcar Mascavo (NewNutrition),86,1 colher de sopa  (15g)
626,Pasta de Amendoim Integral (NewNutrition),93,1 colher de sopa  (15g)
627,Pipoca Doce (50g) (NHAC),187,1 porção (50g)
628,Pipoca Salgada (NHAC),384,100g
629,Pipoca Doce (NHAC),401,100g
630,Tapioca (M&K),68,2 colheres de sopa (30g)
631,Requeijão Light (M&K),60,1 colher de sopa (30g)
632,Barra de Cereais com Castanhas (M&K),87,1 unidade (25g)
633,Barra de Cereais tipo Brigadeiro (M&K),95,1 barra (25g)
634,Bananada Natural (Naturafruti),61,1 porção (25g)
635,Bananada com Uvas Passas (Naturafruti),73,1 porção (25g)
636,Banana com Ameixa (Naturafruti),70,1 porção (25g)
637,Banana com Coco (Naturafruti),79,1 porção (25g)
638,Queijo Parmesão Ralado (Parmíssimo),45,1 colher de sopa (10g)
639,Queijo tipo Provolone Fresco Defumado (Parmíssimo),70,1 fatia  (20g)
640,Queijo Parmesão Ralado Light (Parmíssimo),29,1 colher de sopa (10g)
641,Pão Árabe Folha (O Rei do Pão Árabe),85,1 unidade (50g)
642,Pão Folha (O Rei do Pão Árabe),85,1 unidade (50g)
